tweet_id,airline_sentiment,whole_tweet,emoticon,mentions,hashtags,airline,n_words,n_words_mayus,n_words_mayus_len,n_suspensivos,n_exclamations,n_questions,len_tw
926419989107798016,neutral,trabajar en ryanair como tma empleo,[],[],"['Ryanair', 'TMA:', 'empleo']",['ryanair'],7,1,5,0,0,0,35
934854385577943041,neutral,cuando gusten en cancun se viaja y disfruta de manera sin igual,[],[],[],[],12,0,0,0,0,0,63
945318406441635840,negative,sabiais que iberia te trata muy bien en santiago de chile te cambia el asiento te manda a volar en el wc trasero el sr de facturacion rompe tus targetas de embarque sacadas el la web te insulta y te dice que es lo que hay y si no le gusta compre otro boletoa que son geniales ,[],['Iberia'],[],['iberia'],52,0,0,0,0,3,276
927540721296568320,negative,nunca nunca nunca pidais el cafe de ryanair nbueno nada que vendan a bordo ,[],[],[],[],13,3,15,0,0,0,75
947965901332197376,positive,muchos exitos en esta gran aventura te mereces lo mejor y mucha suerte en este 2018 saludos desde buenos aires argentina ,[],[],[],[],21,0,0,0,3,0,121
947939379317788672,positive,wow que bonito yo solo he volado unas 3 o 4 veces en un 747 de iberia y siempre fue a tu tierra ,[],['Iberia'],[],['iberia'],25,0,0,0,0,0,96
943893340617166849,neutral,iberia plus cumple 25 anos queremos celebrarlo contigo de una manera muy especial elige tu numero favorito y preparate para ganar ,[],[],[],['iberia'],22,0,0,1,1,0,130
942833013129449473,positive,barometro business iberia 57 y vueling 61 son las companias aereas mas utilizadas en los viajes de ,[],[],"['Business:', 'viajes']","['iberia', 'vueling']",18,0,0,0,0,0,99
941356636488298497,positive,felicitaciones iberia ,[],[],[],['iberia'],2,1,7,0,1,0,22
936777743500324864,neutral,chuata yo tengo un madrid stgo en un par de semanas habra que cruzar los dedos ,[],[],[],[],17,0,0,0,1,0,79
936260738666115073,neutral,disponibilidad aerea internacional en los siguientes destinos n argentina gol airlines 600 n madrid iberia airlines 1200 n chile lathan airlines 700 n mexico aeromexico 800 n bogota wingo airlines 5 745 655 bs n panama laser airlines 3 900 000 bspic twitter com ht9v0yoguo,"['2708', '2708', '2708', '2708', '2708', '2708']",[],[],[],26,11,119,0,0,0,272
942408864003166208,neutral,ahora ,[],[],[],[],1,0,0,1,0,0,6
932787782317170688,neutral,con iberia mi destino a un solo click deseadme suerte holaargentina hola 79 destinos europeos al mejor precio,[],"['Iberia,']",['HolaArgentina.'],['iberia'],18,0,0,0,1,0,109
950381917710508032,neutral,air france klm al igual que iberia elimino la duplicidad de avales de las agencias nexotur,[],[],[],"['klm', 'iberia']",17,1,4,0,0,0,90
929997038472892416,negative,un ano de estos nos uniran con el resto de iberia no decian en cataluna que el ave en galicia no era rentable ,[],[],[],['iberia'],23,1,3,0,0,1,110
948999389967716352,negative,lo de ryanair es penoso yo solo viajo con ellos si no tengo otra alternativa ,[],[],[],['ryanair'],14,0,0,2,0,0,77
934366584910512128,negative,ademas he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga dinero y no supere el limite diario,[],[],[],[],27,0,0,0,0,0,139
943102054968516608,positive,una suerte poder volar pero especialmente aterrizar ,"['1f449', '270c', '1f61c']",[],[],[],8,0,0,0,0,0,52
949078349795741696,neutral,la mejor foto tecnologica del ano 2017 womenintechspain redhat juliaberp julia red hat iberia country manager,[],['juliaberp_julia'],"['WomenInTechSpain', 'redhat']",['iberia'],16,0,0,0,0,0,109
948554823464554499,positive, chollo maleta aerolite barata por solo 37 99 enlace ,"['1f4c9', '1f525']",[],[],[],11,0,0,0,1,0,53
947093731508998144,positive,omg estoy viendo que iberia tiene en agosto vuelo directo a san francisco y vuelta y mi corazon esta saltando de alegria me confirmais que es asi iberia pic twitter com p9saovjroa,['1f92f'],['Iberia?pic.twitter.com/P9sAOvjroA'],[],['iberia'],28,1,4,0,1,1,179
